OT Time,OT Min TB,OTA,OT prob,Peak W,Updraft Area
8/16/2018 19:10:08,,,,9.67,8
8/16/2018 19:12:08,199.88,70.9,0.52,13.11,30
8/16/2018 19:13:08,199.88,94.92,0.52,,
8/16/2018 19:14:08,200.07,132.93,0.58,15.89,37
8/16/2018 19:15:08,199.01,168.69,0.63,,
8/16/2018 19:16:08,197.61,125.27,0.78,14.55,27
8/16/2018 19:17:08,197.88,166.63,0.81,,
8/16/2018 19:18:08,198.79,191.55,0.69,9.46,0
8/16/2018 19:19:08,196.93,146.92,0.83,,
8/16/2018 19:20:08,196.48,130.51,0.82,8.98,0
8/16/2018 19:21:08,196.96,64.66,0.83,,
8/16/2018 19:22:08,198.38,99.16,0.83,6.07,0
8/16/2018 19:23:08,199.34,131.9,0.82,,
8/16/2018 19:24:08,198.47,113.35,0.82,12.94,9
8/16/2018 19:25:08,199.5,106.76,0.77,,
8/16/2018 19:26:08,200.59,114.23,0.69,9.09,0
8/16/2018 19:27:08,201.75,127.93,0.55,,
,,,,,
8/16/2018 19:28:08,,,,14.31,14
8/16/2018 19:29:08,201.95,102.23,0.64,,
8/16/2018 19:30:08,200.9,50.91,0.71,23.45,85
8/16/2018 19:31:08,199.43,70.01,0.86,,
8/16/2018 19:32:08,196.6,42.35,0.92,20.53,39
8/16/2018 19:33:08,196.44,48.96,0.93,,
8/16/2018 19:34:08,197.72,182,0.92,22.55,85
8/16/2018 19:35:08,197.08,56.75,0.93,,
8/16/2018 19:36:08,196.49,84.11,0.93,23.04,46
8/16/2018 19:37:08,197.66,62.11,0.91,,
8/16/2018 19:38:08,199.35,41.58,0.89,27.7,25
8/16/2018 19:39:08,200.63,41.58,0.83,,
8/16/2018 19:40:08,202.15,39.85,0.57,15.47,17
