 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   Azi    Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   deg     m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
   0.0  914.7  23.4  18.4  73.4   -1.3    1.5   2.0 139.1 999.0  -64.567 -31.877 999.0 999.0   790.0  1.0  2.0  2.0  1.0  1.0  9.0
   9.0  910.0  22.2  17.1  72.7    0.5    4.6   4.6 186.2   5.0  -64.566 -31.877 999.0 999.0   835.0  1.0  1.0  1.0  1.0  1.0 99.0
  18.6  905.0  21.9  17.0  73.9    2.4    6.9   7.3 199.3   5.0  -64.566 -31.876 999.0 999.0   883.0  1.0  1.0  1.0  1.0  1.0 99.0
  28.2  900.0  21.4  16.8  75.0    4.1    9.0   9.9 204.6   5.0  -64.566 -31.875 999.0 999.0   931.0  1.0  1.0  1.0  1.0  1.0 99.0
  38.0  895.0  20.9  16.5  76.1    4.9   10.4  11.5 205.2   5.0  -64.565 -31.874 999.0 999.0   980.0  1.0  1.0  1.0  1.0  1.0 99.0
  47.6  890.0  20.5  16.5  77.6    4.9   11.0  12.0 204.1   5.0  -64.565 -31.873 999.0 999.0  1028.0  1.0  1.0  1.0  1.0  1.0 99.0
  57.4  885.0  20.1  16.4  79.2    4.7   11.5  12.5 202.2   5.0  -64.564 -31.872 999.0 999.0  1077.0  1.0  1.0  1.0  1.0  1.0 99.0
  67.2  880.0  19.6  16.1  80.3    4.6   12.1  13.0 200.7   5.0  -64.564 -31.871 999.0 999.0  1126.0  1.0  1.0  1.0  1.0  1.0 99.0
  77.0  875.0  19.4  16.1  81.3    3.9   13.1  13.7 196.6   5.0  -64.564 -31.870 999.0 999.0  1175.0  1.0  1.0  1.0  1.0  1.0 99.0
  87.0  870.0  20.1  16.4  79.5    3.2   14.2  14.6 192.7   5.0  -64.563 -31.869 999.0 999.0  1225.0  1.0  1.0  1.0  1.0  1.0 99.0
  97.0  865.0  20.3  16.2  77.4    2.4   15.1  15.3 189.0   5.0  -64.563 -31.867 999.0 999.0  1275.0  1.0  1.0  1.0  1.0  1.0 99.0
