 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   Azi    Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   deg     m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
   0.0  883.5  31.0  17.6  44.7 9999.0 9999.0 999.0 999.0 999.0  -64.604 -31.541 999.0 999.0  1107.5  3.0  3.0  3.0  9.0  9.0  9.0
   7.6  880.0  28.1  13.3  40.2   -0.9   -0.6   1.0  56.9   5.0  -64.605 -31.542 999.0 999.0  1143.0  1.0  2.0  2.0  1.0  1.0 99.0
  17.6  875.0  27.8  13.3  40.7   -2.2   -1.5   2.6  55.2   5.0  -64.605 -31.542 999.0 999.0  1193.0  1.0  1.0  1.0  1.0  1.0 99.0
  27.8  870.0  27.4  13.6  42.8   -3.3   -2.3   4.0  55.2   5.0  -64.605 -31.542 999.0 999.0  1244.0  1.0  1.0  1.0  1.0  1.0 99.0
  38.0  865.0  27.0  14.0  44.7   -4.5   -3.2   5.5  54.6   5.0  -64.606 -31.542 999.0 999.0  1295.0  1.0  1.0  1.0  1.0  1.0 99.0
  48.3  860.0  26.5  13.9  45.8   -4.8   -3.7   6.1  52.4   5.0  -64.606 -31.543 999.0 999.0  1346.3  1.0  1.0  1.0  1.0  1.0 99.0
  58.6  855.0  25.8  13.6  46.6   -4.6   -4.3   6.3  47.2   5.0  -64.606 -31.543 999.0 999.0  1398.0  1.0  1.0  1.0  1.0  1.0 99.0
  69.0  850.0  25.3  13.4  47.5   -4.4   -4.7   6.4  43.1   5.0  -64.607 -31.543 999.0 999.0  1450.0  1.0  1.0  1.0  1.0  1.0 99.0
  79.3  845.0  24.9  13.3  48.6   -4.2   -5.2   6.7  38.9   5.0  -64.607 -31.544 999.0 999.0  1501.3  1.0  1.0  1.0  1.0  1.0 99.0
  89.7  840.0  24.3  13.3  50.1   -4.2   -4.7   6.3  41.8   5.0  -64.608 -31.544 999.0 999.0  1553.7  1.0  1.0  1.0  1.0  1.0 99.0
 100.2  835.0  23.9  13.3  51.5   -4.3   -4.2   6.0  45.8   5.0  -64.608 -31.544 999.0 999.0  1606.0  1.0  1.0  1.0  1.0  1.0 99.0
