 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   Azi    Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   deg     m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
   0.0  968.2  22.2  17.6  75.4    0.9    0.5   1.0 241.9 999.0  -63.878 -31.328 999.0 999.0   328.4  3.0  3.0  3.0  1.0  1.0  9.0
   6.4  965.0  20.4  18.1  86.6    1.2    1.1   1.7 226.5   5.0  -63.878 -31.328 999.0 999.0   357.0  1.0  2.0  2.0  1.0  1.0 99.0
  15.4  960.0  20.3  19.4  94.9    1.7    2.1   2.8 219.1   5.0  -63.878 -31.328 999.0 999.0   402.0  1.0  1.0  1.0  1.0  1.0 99.0
  24.5  955.0  20.1  19.4  96.0    2.2    3.1   3.8 215.8   5.0  -63.878 -31.328 999.0 999.0   447.5  1.0  1.0  1.0  1.0  1.0 99.0
  33.6  950.0  19.9  19.4  97.0    2.5    4.0   4.7 212.3   5.0  -63.878 -31.327 999.0 999.0   493.0  1.0  1.0  1.0  1.0  1.0 99.0
  42.7  945.0  19.8  19.3  97.1    1.6    4.6   4.8 199.7   5.0  -63.877 -31.327 999.0 999.0   538.3  1.0  1.0  1.0  1.0  1.0 99.0
  51.8  940.0  19.6  19.1  97.1    0.6    4.9   4.9 187.2   5.0  -63.877 -31.326 999.0 999.0   584.2  1.0  1.0  1.0  1.0  1.0 99.0
  61.2  935.0  19.4  19.1  98.0   -0.4    5.1   5.1 175.3   5.0  -63.878 -31.326 999.0 999.0   630.8  1.0  1.0  1.0  1.0  1.0 99.0
  70.4  930.0  19.3  18.9  98.0   -1.2    4.9   5.1 165.8   5.0  -63.878 -31.326 999.0 999.0   677.0  1.0  1.0  1.0  1.0  1.0 99.0
  79.7  925.0  19.1  18.8  98.0   -1.9    4.6   5.0 158.1   5.0  -63.878 -31.325 999.0 999.0   723.3  1.0  1.0  1.0  1.0  1.0 99.0
  89.0  920.0  19.0  18.7  98.0   -2.4    4.3   4.9 150.8   5.0  -63.878 -31.325 999.0 999.0   770.0  1.0  1.0  1.0  1.0  1.0 99.0
